timestamp,symbol,price,bid,ask,volume
2026-04-13 20:23:00,BTCUSDT,73042.22,73005.69889,73078.74111,14.18965000
2026-04-13 20:24:00,BTCUSDT,73019.05,72982.540475,73055.559525,15.08241000
2026-04-13 20:25:00,BTCUSDT,73066.21,73029.67689500001,73102.743105,11.95845000
2026-04-13 20:26:00,BTCUSDT,73070.0,73033.46500000001,73106.53499999999,9.99117000
2026-04-13 20:27:00,BTCUSDT,73068.54,73032.00573,73105.07426999998,13.91713000
2026-04-13 20:28:00,BTCUSDT,73097.03,73060.481485,73133.578515,8.70716000
2026-04-13 20:29:00,BTCUSDT,73097.0,73060.45150000001,73133.54849999999,19.51830000
2026-04-13 20:30:00,BTCUSDT,73113.92,73077.36304,73150.47696,25.21944000
2026-04-13 20:31:00,BTCUSDT,73082.57,73046.02871500001,73119.111285,12.03348000
2026-04-13 20:32:00,BTCUSDT,73121.47,73084.90926500001,73158.030735,14.61595000
2026-04-13 20:33:00,BTCUSDT,73172.71,73136.12364500001,73209.296355,13.44337000
2026-04-13 20:34:00,BTCUSDT,73221.33,73184.719335,73257.940665,8.78865000
2026-04-13 20:35:00,BTCUSDT,73185.36,73148.76732,73221.95268,13.87211000
2026-04-13 20:36:00,BTCUSDT,73240.24,73203.61988000001,73276.86012,13.56747000
2026-04-13 20:37:00,BTCUSDT,73271.21,73234.574395,73307.84560500001,7.69067000
2026-04-13 20:38:00,BTCUSDT,73208.73,73172.125635,73245.33436499999,25.58847000
2026-04-13 20:39:00,BTCUSDT,73139.12,73102.55044,73175.68955999998,19.95930000
2026-04-13 20:40:00,BTCUSDT,73211.14,73174.53443,73247.74557,13.39953000
2026-04-13 20:41:00,BTCUSDT,73180.33,73143.739835,73216.920165,4.23756000
2026-04-13 20:42:00,BTCUSDT,73177.76,73141.17112,73214.34887999999,8.05263000
2026-04-13 20:43:00,BTCUSDT,73213.0,73176.3935,73249.6065,40.74243000
2026-04-13 20:44:00,BTCUSDT,73219.63,73183.02018500002,73256.239815,13.73627000
2026-04-13 20:45:00,BTCUSDT,73176.03,73139.441985,73212.618015,19.85148000
2026-04-13 20:46:00,BTCUSDT,73237.46,73200.84127,73274.07873000001,9.40561000
2026-04-13 20:47:00,BTCUSDT,73237.46,73200.84127,73274.07873000001,15.82549000
2026-04-13 20:48:00,BTCUSDT,73227.81,73191.196095,73264.42390499999,14.38467000
2026-04-13 20:49:00,BTCUSDT,73189.25,73152.655375,73225.844625,15.45460000
2026-04-13 20:50:00,BTCUSDT,73176.12,73139.53194,73212.70805999999,14.74494000
2026-04-13 20:51:00,BTCUSDT,73122.5,73085.93875,73159.06125,14.90044000
2026-04-13 20:52:00,BTCUSDT,73122.66,73086.09867,73159.22133,6.81836000
2026-04-13 20:53:00,BTCUSDT,73097.09,73060.541455,73133.638545,7.91274000
2026-04-13 20:54:00,BTCUSDT,73093.69,73057.14315500001,73130.23684499999,18.85585000
2026-04-13 20:55:00,BTCUSDT,73145.0,73108.4275,73181.5725,19.27125000
2026-04-13 20:56:00,BTCUSDT,73146.54,73109.96673,73183.11326999999,18.62858000
2026-04-13 20:57:00,BTCUSDT,73181.91,73145.31904500001,73218.500955,6.86563000
2026-04-13 20:58:00,BTCUSDT,73169.59,73133.005205,73206.174795,8.56574000
2026-04-13 20:59:00,BTCUSDT,73149.36,73112.78532000001,73185.93467999999,4.74612000
2026-04-13 21:00:00,BTCUSDT,73131.94,73095.37403,73168.50597,6.96566000
2026-04-13 21:01:00,BTCUSDT,73136.57,73100.001715,73173.13828500001,3.67401000
2026-04-13 21:02:00,BTCUSDT,73104.0,73067.448,73140.552,14.93724000
2026-04-13 21:03:00,BTCUSDT,73144.42,73107.84779,73180.99221,18.97247000
2026-04-13 21:04:00,BTCUSDT,73092.14,73055.59393,73128.68607,8.01254000
2026-04-13 21:05:00,BTCUSDT,73120.08,73083.51996,73156.64004,15.44365000
2026-04-13 21:06:00,BTCUSDT,73183.71,73147.11814500001,73220.301855,7.90799000
2026-04-13 21:07:00,BTCUSDT,73168.01,73131.425995,73204.59400499999,3.30940000
2026-04-13 21:08:00,BTCUSDT,73186.61,73150.016695,73223.203305,4.26913000
2026-04-13 21:09:00,BTCUSDT,73206.19,73169.586905,73242.793095,4.94053000
2026-04-13 21:10:00,BTCUSDT,73261.07,73224.43946500002,73297.700535,10.58288000
2026-04-13 21:11:00,BTCUSDT,73248.32,73211.69584000001,73284.94416,3.88064000
2026-04-13 21:12:00,BTCUSDT,73284.74,73248.09763,73321.38237,16.00674000
2026-04-13 21:13:00,BTCUSDT,73259.09,73222.46045500001,73295.71954499999,15.51545000
2026-04-13 21:14:00,BTCUSDT,73224.02,73187.40799,73260.63201,6.36141000
2026-04-13 21:15:00,BTCUSDT,73277.24,73240.60138000001,73313.87862,9.72762000
2026-04-13 21:16:00,BTCUSDT,73258.01,73221.380995,73294.63900499999,2.49226000
2026-04-13 21:17:00,BTCUSDT,73208.29,73171.685855,73244.89414499998,7.87514000
2026-04-13 21:18:00,BTCUSDT,73194.3,73157.70285,73230.89715,12.31709000
2026-04-13 21:19:00,BTCUSDT,73150.0,73113.425,73186.575,11.78530000
2026-04-13 21:20:00,BTCUSDT,73146.97,73110.396515,73183.543485,3.21330000
2026-04-13 21:21:00,BTCUSDT,73171.19,73134.604405,73207.775595,6.08017000
2026-04-13 21:22:00,BTCUSDT,73160.0,73123.42,73196.58,2.67729000
2026-04-13 21:23:00,BTCUSDT,73148.31,73111.735845,73184.88415499999,7.97232000
2026-04-13 21:24:00,BTCUSDT,73156.99,73120.41150500001,73193.568495,7.18029000
2026-04-13 21:25:00,BTCUSDT,73143.85,73107.27807500001,73180.421925,4.12685000
2026-04-13 21:26:00,BTCUSDT,73148.24,73111.66588000002,73184.81412,2.27050000
2026-04-13 21:27:00,BTCUSDT,73143.16,73106.58842000001,73179.73157999999,3.39039000
2026-04-13 21:28:00,BTCUSDT,73132.85,73096.28357500001,73169.416425,2.74926000
2026-04-13 21:29:00,BTCUSDT,73127.2,73090.6364,73163.76359999999,2.90147000
2026-04-13 21:30:00,BTCUSDT,73141.09,73104.519455,73177.66054499999,16.64267000
2026-04-13 21:31:00,BTCUSDT,73106.76,73070.20662,73143.31337999999,2.84080000
2026-04-13 21:32:00,BTCUSDT,73148.25,73111.675875,73184.824125,4.82973000
2026-04-13 21:33:00,BTCUSDT,73215.0,73178.3925,73251.6075,11.78556000
2026-04-13 21:34:00,BTCUSDT,73200.29,73163.689855,73236.89014499998,5.92774000
2026-04-13 21:35:00,BTCUSDT,73200.29,73163.689855,73236.89014499998,1.74257000
2026-04-13 21:36:00,BTCUSDT,73241.98,73205.35901,73278.60098999999,7.18122000
2026-04-13 21:37:00,BTCUSDT,73210.0,73173.395,73246.605,2.32546000
2026-04-13 21:38:00,BTCUSDT,73263.52,73226.88824000001,73300.15176,6.80048000
2026-04-13 21:39:00,BTCUSDT,73272.69,73236.05365500001,73309.326345,1.61746000
2026-04-13 21:40:00,BTCUSDT,73280.52,73243.87974,73317.16026,3.23227000
2026-04-13 21:41:00,BTCUSDT,73364.68,73327.99766,73401.36233999999,12.05050000
2026-04-13 21:42:00,BTCUSDT,73315.17,73278.512415,73351.82758499999,6.85078000
2026-04-13 21:43:00,BTCUSDT,73271.44,73234.80428000001,73308.07572,2.58714000
2026-04-13 21:44:00,BTCUSDT,73265.68,73229.04716,73302.31283999998,3.37109000
2026-04-13 21:45:00,BTCUSDT,73200.48,73163.87976,73237.08024,8.00944000
2026-04-13 21:46:00,BTCUSDT,73209.41,73172.80529500001,73246.014705,7.68706000
2026-04-13 21:47:00,BTCUSDT,73200.0,73163.40000000001,73236.59999999999,3.33423000
2026-04-13 21:48:00,BTCUSDT,73216.61,73180.001695,73253.218305,8.99237000
2026-04-13 21:49:00,BTCUSDT,73264.36,73227.72782,73300.99218,5.29240000
2026-04-13 21:50:00,BTCUSDT,73234.07,73197.452965,73270.68703500001,3.34088000
2026-04-13 21:51:00,BTCUSDT,73248.46,73211.83577,73285.08423000001,7.12461000
2026-04-13 21:52:00,BTCUSDT,73236.59,73199.971705,73273.20829499999,3.82797000
2026-04-13 21:53:00,BTCUSDT,73247.91,73211.286045,73284.533955,3.41117000
2026-04-13 21:54:00,BTCUSDT,73234.96,73198.34252,73271.57748,4.11056000
2026-04-13 21:55:00,BTCUSDT,73189.17,73152.575415,73225.764585,6.11386000
2026-04-13 21:56:00,BTCUSDT,73211.8,73175.19410000001,73248.4059,2.97659000
2026-04-13 21:57:00,BTCUSDT,73219.81,73183.20009500001,73256.41990499999,2.88038000
2026-04-13 21:58:00,BTCUSDT,73206.05,73169.44697500001,73242.65302499999,2.01419000
2026-04-13 21:59:00,BTCUSDT,73179.71,73143.12014500001,73216.299855,1.46210000
2026-04-13 22:00:00,BTCUSDT,73249.44,73212.81528000001,73286.06472,19.18151000
2026-04-13 22:01:00,BTCUSDT,73284.52,73247.87774000001,73321.16226,13.04363000
2026-04-13 22:02:00,BTCUSDT,73274.31,73237.67284500001,73310.94715499999,5.29020000
2026-04-13 22:03:00,BTCUSDT,73312.5,73275.84375,73349.15625,7.47786000
2026-04-13 22:04:00,BTCUSDT,73295.0,73258.35250000001,73331.64749999999,3.07052000
2026-04-13 22:05:00,BTCUSDT,73350.0,73313.325,73386.675,5.94154000
2026-04-13 22:06:00,BTCUSDT,73511.33,73474.57433500001,73548.08566499999,53.72345000
2026-04-13 22:07:00,BTCUSDT,73509.91,73473.155045,73546.664955,30.40526000
2026-04-13 22:08:00,BTCUSDT,73407.16,73370.45642,73443.86358,11.87510000
2026-04-13 22:09:00,BTCUSDT,73329.97,73293.305015,73366.634985,15.99731000
2026-04-13 22:10:00,BTCUSDT,73321.4,73284.7393,73358.06069999999,18.58036000
2026-04-13 22:11:00,BTCUSDT,73444.38,73407.65781,73481.10219,12.63716000
2026-04-13 22:12:00,BTCUSDT,73456.7,73419.97165,73493.42834999999,3.36740000
2026-04-13 22:13:00,BTCUSDT,73584.24,73547.44788,73621.03212,17.92517000
2026-04-13 22:14:00,BTCUSDT,73753.26,73716.38337,73790.13663,329.93456000
2026-04-13 22:15:00,BTCUSDT,73854.18,73817.25291,73891.10708999999,49.42801000
2026-04-13 22:16:00,BTCUSDT,74420.14,74382.92993,74457.35007,634.43485000
2026-04-13 22:17:00,BTCUSDT,74160.42,74123.33979,74197.50021,226.76375000
2026-04-13 22:18:00,BTCUSDT,74232.28,74195.16386,74269.39614,118.04241000
2026-04-13 22:19:00,BTCUSDT,74188.8,74151.7056,74225.8944,38.30754000
2026-04-13 22:20:00,BTCUSDT,74158.0,74120.921,74195.079,136.09627000
2026-04-13 22:21:00,BTCUSDT,74114.0,74076.943,74151.057,75.14259000
2026-04-13 22:22:00,BTCUSDT,74189.52,74152.42524000001,74226.61476,40.97134000
2026-04-13 22:23:00,BTCUSDT,74329.48,74292.31526,74366.64473999999,30.55420000
2026-04-13 22:24:00,BTCUSDT,74235.62,74198.50219,74272.73780999999,57.50405000
2026-04-13 22:25:00,BTCUSDT,74210.0,74172.895,74247.105,30.02927000
